ID Occupied By,Occupied By,ID Year,Year,Household Ownership,Household Ownership Moe,Geography,ID Geography,Slug Geography,share
0,"Owner Occupied",2014,"2014",4949,352,"New River, AZ","16000US0449360","new-river-az",0.8705364995602463
0,"Owner Occupied",2014,"2014",4856,275,"Paradise Valley, AZ","16000US0452930","paradise-valley-az",0.930803143569101
0,"Owner Occupied",2014,"2014",40747,802,"Peoria, AZ","16000US0454050","peoria-az",0.7000841881002697
0,"Owner Occupied",2014,"2014",281256,3152,"Phoenix, AZ","16000US0455000","phoenix-az",0.5399880197213818
0,"Owner Occupied",2014,"2014",67434,1156,"Scottsdale, AZ","16000US0465000","scottsdale-az",0.668384692390798
0,"Owner Occupied",2014,"2014",27090,855.9999999999999,"Tempe, AZ","16000US0473000","tempe-az",0.42645970750751694
0,"Owner Occupied",2014,"2014",903,166,"Tolleson, AZ","16000US0474190","tolleson-az",0.43623188405797103
0,"Owner Occupied",2014,"2014",965620,6786,"Phoenix-Mesa-Scottsdale, AZ","31000US38060","phoenix-mesa-scottsdale-az",0.6228311656815267
0,"Owner Occupied",2013,"2013",75075700,345645,"United States","01000US","united-states",0.649386382947334
0,"Owner Occupied",2013,"2013",1527475,9095,"Arizona","04000US04","arizona",0.644425637548839
0,"Owner Occupied",2013,"2013",882862,5603,"Maricopa County, AZ","05000US04013","maricopa-county-az",0.6253772861183501
0,"Owner Occupied",2013,"2013",5523,465.99999999999994,"Anthem, AZ","16000US0402430","anthem-az",0.7208300704776821
0,"Owner Occupied",2013,"2013",13551,772,"Avondale, AZ","16000US0404720","avondale-az",0.5854069466044582
0,"Owner Occupied",2013,"2013",1756,183,"Cave Creek, AZ","16000US0411300","cave-creek-az",0.8357924797715374
0,"Owner Occupied",2013,"2013",45311,1062,"Glendale, AZ","16000US0427820","glendale-az",0.5779980355388874
0,"Owner Occupied",2013,"2013",869,122,"Guadalupe, AZ","16000US0430270","guadalupe-az",0.6207142857142857
0,"Owner Occupied",2013,"2013",1771,189,"Litchfield Park, AZ","16000US0441330","litchfield-park-az",0.8024467603081106
0,"Owner Occupied",2013,"2013",52,20,"Maricopa Colony, AZ","16000US0444450","maricopa-colony-az",0.5909090909090909
0,"Owner Occupied",2013,"2013",4931,363,"New River, AZ","16000US0449360","new-river-az",0.8883084128985769
0,"Owner Occupied",2013,"2013",4803,255,"Paradise Valley, AZ","16000US0452930","paradise-valley-az",0.9338907252576317
0,"Owner Occupied",2013,"2013",40906,914,"Peoria, AZ","16000US0454050","peoria-az",0.7123502368347729
0,"Owner Occupied",2013,"2013",287078,3082,"Phoenix, AZ","16000US0455000","phoenix-az",0.5549030826445642
0,"Owner Occupied",2013,"2013",67983,1306,"Scottsdale, AZ","16000US0465000","scottsdale-az",0.6781278989735763
0,"Owner Occupied",2013,"2013",28336,984.9999999999999,"Tempe, AZ","16000US0473000","tempe-az",0.4430338185400022
0,"Owner Occupied",2013,"2013",866,155,"Tolleson, AZ","16000US0474190","tolleson-az",0.4418367346938776
0,"Owner Occupied",2013,"2013",974939,6084,"Phoenix-Mesa-Scottsdale, AZ","31000US38060","phoenix-mesa-scottsdale-az",0.6349491357638753
